Designator,Mid X,Mid Y,Rotation,Layer
D1,151.75,-71.4375,0.0,top
D12,186.35,-133.35,0.0,top
D13,178.59375,-111.91875,180.0,top
D14,159.54375,-92.86875,180.0,top
D15,159.54375,-111.91875,180.0,top
D16,178.59375,-92.86875,180.0,top
D2,186.35,-71.625,0.0,top
D3,151.75,-133.35,0.0,top
OLED1,163.0,-63.44,0.0,top
SW1,150.01875,-81.25375,0.0,top
SW2,169.06875,-81.25375,0.0,top
SW3,188.11875,-81.25375,0.0,top
SW4,150.01875,-100.30375,0.0,top
SW5,169.06875,-100.30375,0.0,top
SW6,188.11875,-100.30375,0.0,top
SW7,188.11875,-119.35375,0.0,top
SW8,159.54375,-119.35375,0.0,top
U1,149.0,-57.62625,90.0,top
